CurrentClinicName1,CurrentClinicCity,CurrentClinicState,TotNumCycles1,TotNumCycles2
THE LEXINGTON FERTILITY CENTER,LEXINGTON,KENTUCKY,17,6
FERTILITY AND ENDOCRINE ASSOCIATES,LOUISVILLE,KENTUCKY,102,46
"KENTUCKY FERTILITY INSTITUTE, LLC",LOUISVILLE,KENTUCKY,158,79
"FERTILITY ANSWERS, LLC-BATON ROUGE",BATON ROUGE,LOUISIANA,88,30
"FERTILITY ANSWERS, LLC-LAFAYETTE",LAFAYETTE,LOUISIANA,93,53
FERTILITY INSTITUTE OF NEW ORLEANS,MANDEVILLE,LOUISIANA,449,232
AUDUBON FERTILITY,NEW ORLEANS,LOUISIANA,239,95
ARKLATEX FERTILITY AND REPRODUCTIVE MEDICINE,SHREVEPORT,LOUISIANA,107,31
"BOSTON IVF, LLC THE MAINE CENTER",SOUTH PORTLAND,MAINE,223,105
"THE A.R.T. INSTITUTE OF WASHINGTON, INC.",BETHESDA,MARYLAND,276,171
"ENDRIKA HINTON, MD",LUTHERVILLE,MARYLAND,18,15
JOHNS HOPKINS FERTILITY CENTER,LUTHERVILLE,MARYLAND,280,139
MONTGOMERY FERTILITY CENTER,ROCKVILLE,MARYLAND,31,27
SHADY GROVE FERTILITY-ROCKVILLE,ROCKVILLE,MARYLAND,"2,999","2,310"
FERTILITY CENTER OF MARYLAND,TOWSON,MARYLAND,162,87
SHADY GROVE FERTILITY-TOWSON,TOWSON,MARYLAND,963,475
BRIGHAM AND WOMEN'S HOSPITAL CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,BOSTON,MASSACHUSETTS,858,560
MASSACHUSETTS GENERAL HOSPITAL FERTILITY CENTER,BOSTON,MASSACHUSETTS,406,294
"FERTILITY SOLUTIONS, PC",DEDHAM,MASSACHUSETTS,238,206
IVF NEW ENGLAND,LEXINGTON,MASSACHUSETTS,"1,041",566
CCRM BOSTON,NEWTON,MASSACHUSETTS,13,4
"FERTILITY CENTERS OF NEW ENGLAND, INC.",READING,MASSACHUSETTS,722,416
BAYSTATE REPRODUCTIVE MEDICINE,SPRINGFIELD,MASSACHUSETTS,291,158
"CARDONE REPRODUCTIVE MEDICINE AND INFERTILITY, LLC",STONEHAM,MASSACHUSETTS,135,92
"BOSTON IVF, LLC",WALTHAM,MASSACHUSETTS,"1,547","1,126"
UNIVERSITY OF MICHIGAN CENTER FOR REPRODUCTIVE MEDICINE,ANN ARBOR,MICHIGAN,357,161
"ADVANCED REPRODUCTIVE MEDICINE AND SURGERY, PC",BLOOMFIELD HILLS,MICHIGAN,36,21
IVF MICHIGAN FERTILITY CENTERS,BLOOMFIELD HILLS,MICHIGAN,692,245
MICHIGAN REPRODUCTIVE MEDICINE,BLOOMFIELD HILLS,MICHIGAN,102,58
GAGO IVF,BRIGHTON,MICHIGAN,110,40
"MICHIGAN REPRODUCTIVE & IVF CENTER, PC",GRAND RAPIDS,MICHIGAN,537,194
"IVF MICHIGAN ROCHESTER HILLS & FLINT, PC",ROCHESTER HILLS,MICHIGAN,170,73
WAYNE STATE UNIVERSITY PHYSICIAN GROUP,SOUTHFIELD,MICHIGAN,25,18
HENRY FORD REPRODUCTIVE MEDICINE,TROY,MICHIGAN,37,16
REPRODUCTIVE MEDICINE ASSOCIATES OF MICHIGAN,TROY,MICHIGAN,276,178
"MICHIGAN CENTER FOR FERTILITY AND WOMEN'S HEALTH, PLC",WARREN,MICHIGAN,112,69
CCRM MINNEAPOLIS,EDINA,MINNESOTA,271,136
"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, PA",MAPLE GROVE,MINNESOTA,132,51
CENTER FOR REPRODUCTIVE MEDICINE,MINNEAPOLIS,MINNESOTA,692,360
MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,ROCHESTER,MINNESOTA,334,135
REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES,WOODBURY,MINNESOTA,423,199
"MISSISSIPPI REPRODUCTIVE MEDICINE, PLLC",FLOWOOD,MISSISSIPPI,108,51
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,FLOWOOD,MISSISSIPPI,102,39
INFERTILITY CENTER OF ST. LOUIS,CHESTERFIELD,MISSOURI,281,151
MISSOURI CENTER FOR REPRODUCTIVE MEDICINE,CHESTERFIELD,MISSOURI,539,181
"MID-MISSOURI REPRODUCTIVE MEDICINE AND SURGERY, INC.",COLUMBIA,MISSOURI,126,45
BLUE SKY FERTILITY,KANSAS CITY,MISSOURI,49,21
MIDWEST WOMEN'S HEALTHCARE SPECIALISTS,KANSAS CITY,MISSOURI,73,25
FERTILITY PARTNERSHIP,SAINT PETERS,MISSOURI,126,42
CENTER FOR REPRODUCTIVE MEDICINE & ROBOTIC SURGERY,ST. LOUIS,MISSOURI,36,18
FERTILITY AND REPRODUCTIVE MEDICINE CENTER,ST. LOUIS,MISSOURI,447,218
SHER INSTITUTE FOR REPRODUCTIVE MEDICINE-ST. LOUIS,ST. LOUIS,MISSOURI,301,117
BILLINGS CLINIC,BILLINGS,MONTANA,164,57
REPRODUCTIVE HEALTH SPECIALISTS,ELKHORN,NEBRASKA,428,125
"HEARTLAND CENTER FOR REPRODUCTIVE MEDICINE, PC",OMAHA,NEBRASKA,243,80
GREEN VALLEY FERTILITY PARTNERS,HENDERSON,NEVADA,88,51
FERTILITY CENTER OF LAS VEGAS,LAS VEGAS,NEVADA,279,173
RED ROCK FERTILITY CENTER,LAS VEGAS,NEVADA,102,51
SHER INSTITUTE FOR REPRODUCTIVE MEDICINE-LAS VEGAS,LAS VEGAS,NEVADA,163,67
THE NEVADA CENTER FOR REPRODUCTIVE MEDICINE,RENO,NEVADA,205,88
REPRODUCTIVE MEDICINE ASSOCIATES OF NEW JERSEY,BASKING RIDGE,NEW JERSEY,"2,750","1,640"
CLIFTON LOW COST IVF,CLIFTON,NEW JERSEY,11,6
NJ BEST OB/GYN,CLIFTON,NEW JERSEY,12,1
REPRODUCTIVE SCIENCE CENTER OF NEW JERSEY,EATONTOWN,NEW JERSEY,178,98
CENTER FOR ADVANCED REPRODUCTIVE MEDICINE & FERTILITY,EDISON,NEW JERSEY,210,86
WOMEN'S FERTILITY CENTER,ENGLEWOOD,NEW JERSEY,25,14
NORTH HUDSON IVF,ENGLEWOOD CLIFFS,NEW JERSEY,6,5
